m,selected_stocks,weights,error_2019,error_2020
10,"['ATVI', 'AMD', 'GOOG', 'AMGN', 'ANSS', 'AMAT', 'FAST', 'IDXX', 'MRNA', 'PDD']","[array(0.99991), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",1.2796871561639938e-05,6.870872332831531e-05
20,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'AMAT', 'AVGO', 'CTXS', 'CPRT', 'CSX', 'EA', 'FAST', 'JD', 'KHC', 'MELI', 'MRNA', 'NVDA', 'PAYX', 'PYPL', 'SWKS', 'TMUS']","[array(0.99977606), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(2.66479727e-05), array(0.), array(0.), array(0.), array(2.5287286e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.20007526e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.)]",4.3103374456326946e-05,0.00015239779523320337
30,"['ATVI', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ASML', 'CHKP', 'CTXS', 'CTSH', 'CSX', 'DXCM', 'FAST', 'IDXX', 'INTU', 'ISRG', 'KLAC', 'LRCX', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PAYX', 'PEP', 'SGEN', 'SNPS', 'TCOM', 'WBA']","[array(0.99959185), array(0.), array(0.), array(0.), array(0.), array(0.), array(2.72054438e-05), array(1.e-05), array(3.29667117e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(4.55783996e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(9.67045633e-06), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.32727825e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(1.30178042e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(4.64406266e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.)]",1.0494733318516985e-05,0.00018531649121700168
40,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'AMAT', 'BIDU', 'CDNS', 'CTXS', 'CPRT', 'DXCM', 'EA', 'EXPE', 'FAST', 'IDXX', 'ILMN', 'INCY', 'INTU', 'JD', 'KLAC', 'LBTYA', 'MELI', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PEP', 'PDD', 'REGN', 'ROST', 'SWKS', 'SNPS', 'TTWO', 'TXN', 'TCOM', 'WBA', 'WDAY']","[array(0.99933601), array(1.e-05), array(1.85191783e-05), array(0.), array(0.), array(0.), array(5.0237066e-05), array(1.e-05), array(5.98507836e-05), array(1.e-05), array(0.), array(0.), array(6.3032006e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(1.07006997e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.8100323e-05), array(0.), array(0.), array(2.57087868e-05), array(0.), array(0.), array(9.56489068e-06), array(0.), array(0.), array(0.), array(1.34074748e-05), array(0.), array(1.e-05), array(0.), array(3.34221778e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.29561291e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(9.11223601e-06), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(6.3342696e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.20395106e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.04999364e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(2.35006041e-05), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.)]",6.627117920567519e-05,0.0002355053702993209
50,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'BIDU', 'BMRN', 'AVGO', 'CDNS', 'CHKP', 'CTXS', 'CPRT', 'CSX', 'DXCM', 'EA', 'FAST', 'GILD', 'INCY', 'INTU', 'ISRG', 'JD', 'LRCX', 'LULU', 'MXIM', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SNPS', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'XLNX']","[array(0.99909329), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(7.26405726e-05), array(1.e-05), array(7.99225524e-05), array(1.19220099e-05), array(1.e-05), array(0.), array(9.78630069e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.5299479e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(2.75241566e-05), array(0.), array(0.), array(2.36830725e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(8.27851578e-07), array(4.027052e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.14121258e-05), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(1.47011329e-05), array(0.0001024), array(0.), array(1.e-05), array(0.), array(0.), array(3.03233213e-05), array(1.79193095e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05)]",7.179997188725069e-05,0.0003549192271346034
60,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADP', 'BIDU', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CERN', 'CHKP', 'CTXS', 'CPRT', 'CSX', 'DXCM', 'EBAY', 'EA', 'EXPE', 'FAST', 'IDXX', 'INCY', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYK', 'MAR', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'WBA', 'WDAY', 'XLNX']","[array(0.99880354), array(1.e-05), array(1.84227699e-05), array(0.), array(0.), array(0.), array(2.01383213e-05), array(8.66910047e-05), array(0.00012362), array(1.36260973e-05), array(1.e-05), array(0.), array(0.00010802), array(1.e-05), array(0.), array(1.e-05), array(1.15061513e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.84785481e-05), array(1.e-05), array(1.e-05), array(0.), array(1.28900781e-05), array(0.), array(0.), array(2.66667875e-05), array(0.), array(0.), array(2.89015221e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(5.15079733e-05), array(0.), array(0.), array(1.52830552e-05), array(0.), array(1.e-05), array(0.), array(3.1498096e-05), array(1.60845322e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.25989057e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.00011068), array(0.), array(1.2719258e-05), array(0.), array(0.), array(2.43119907e-05), array(1.36628422e-05), array(0.), array(1.e-05), array(1.e-05), array(2.36599169e-05), array(3.06544843e-05), array(2.18468866e-05), array(0.), array(1.35325721e-05), array(1.e-05), array(9.46202572e-06), array(0.), array(0.), array(0.), array(0.), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05)]",8.89725695338735e-05,0.0004671201617417821
70,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CHTR', 'CHKP', 'CTAS', 'CTXS', 'CMCSA', 'CPRT', 'CSX', 'DXCM', 'EBAY', 'EA', 'FAST', 'GILD', 'IDXX', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LULU', 'MAR', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NTES', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SNPS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XLNX']","[array(0.99851061), array(1.03447413e-05), array(1.86953873e-05), array(1.e-05), array(0.), array(0.), array(0.00010544), array(1.e-05), array(0.00015057), array(1.36884703e-05), array(1.e-05), array(0.), array(0.00015478), array(1.e-05), array(0.), array(1.05644756e-05), array(2.55578396e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.35435125e-05), array(2.36018192e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(3.67312646e-05), array(0.), array(1.e-05), array(2.35674002e-05), array(0.), array(2.30571493e-05), array(1.16119165e-05), array(-7.78052605e-08), array(0.), array(1.e-05), array(1.e-05), array(0.), array(0.), array(0.), array(7.35478687e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(1.64112876e-05), array(1.e-05), array(3.67860598e-05), array(1.e-05), array(1.03386747e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.00015727), array(0.), array(1.e-05), array(1.e-05), array(0.), array(2.52636339e-05), array(1.840203e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.5697946e-05), array(1.34828353e-05), array(0.), array(1.60453868e-05), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(2.29780167e-05), array(0.), array(1.16617771e-05), array(1.09319335e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.39439152e-05), array(0.), array(0.), array(1.49494251e-05)]",9.807850780879745e-05,0.000538017424268378
80,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'AVGO', 'CDNS', 'CERN', 'CHTR', 'CHKP', 'CTAS', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'CSX', 'DXCM', 'DOCU', 'EBAY', 'EA', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYA', 'LULU', 'MAR', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SNPS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'WDC', 'XLNX']","[array(0.99811493), array(1.e-05), array(2.86810734e-05), array(1.e-05), array(0.), array(0.), array(0.00010041), array(5.52868227e-05), array(0.00019242), array(1.3132337e-05), array(1.e-05), array(0.), array(0.00019037), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.03710444e-05), array(0.), array(1.92003775e-05), array(1.83778827e-05), array(0.), array(1.e-05), array(1.e-05), array(1.75482094e-05), array(1.e-05), array(0.), array(4.22794895e-05), array(1.e-05), array(1.e-05), array(4.24717458e-05), array(0.), array(1.45029385e-05), array(1.77274073e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(8.44222257e-05), array(1.e-05), array(1.e-05), array(2.40644405e-05), array(1.e-05), array(1.30251011e-05), array(1.e-05), array(6.89574792e-05), array(1.e-05), array(1.81558014e-05), array(1.e-05), array(1.e-05), array(1.00872489e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.04178837e-05), array(0.), array(1.e-05), array(1.e-05), array(0.00018213), array(0.), array(1.34144461e-05), array(1.e-05), array(1.e-05), array(3.15068027e-05), array(2.29249778e-05), array(0.), array(1.e-05), array(1.01939237e-05), array(1.e-05), array(3.56207879e-05), array(3.71085115e-05), array(0.), array(1.77958521e-05), array(1.7367043e-05), array(1.e-05), array(0.), array(1.12268526e-05), array(0.), array(0.), array(1.e-05), array(1.e-05), array(2.54495605e-05), array(0.), array(1.63887236e-05), array(1.7412252e-05), array(0.), array(1.e-05), array(1.e-05), array(1.e-05), array(1.05696788e-05), array(1.4053796e-05), array(1.e-05), array(0.), array(1.e-05)]",0.00011964013154804125,0.0006791208689860043
90,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'ALGN', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CERN', 'CHTR', 'CHKP', 'CTAS', 'CSCO', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DOCU', 'EBAY', 'EA', 'EXC', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYA', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MELI', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SPLK', 'SNPS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'WDC', 'XLNX']","[array(0.9977507), array(1.40326338e-05), array(2.74269581e-05), array(1.e-05), array(1.e-05), array(0.), array(0.00018739), array(1.e-05), array(0.00022553), array(2.49595373e-05), array(1.e-05), array(0.), array(0.00021518), array(1.e-05), array(1.e-05), array(1.e-05), array(1.39934684e-05), array(1.e-05), array(1.57582268e-05), array(1.e-05), array(1.83823531e-05), array(1.99782933e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.02351679e-05), array(1.e-05), array(1.e-05), array(5.22056418e-05), array(1.e-05), array(1.52406401e-05), array(5.33786395e-05), array(1.e-05), array(2.69367571e-05), array(2.17386274e-05), array(1.e-05), array(0.), array(1.48011853e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(9.42319959e-05), array(1.e-05), array(1.e-05), array(1.35389467e-05), array(1.e-05), array(1.14370727e-05), array(1.e-05), array(6.99769332e-05), array(1.e-05), array(2.36861312e-05), array(1.e-05), array(1.e-05), array(1.45496803e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(9.99998764e-06), array(1.e-05), array(9.82247194e-06), array(0.00021657), array(0.), array(2.16887056e-05), array(1.e-05), array(1.e-05), array(4.04755458e-05), array(2.74923918e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(3.63998427e-05), array(4.0280382e-05), array(0.), array(2.32852992e-05), array(1.e-05), array(1.e-05), array(0.), array(1.38142377e-05), array(1.e-05), array(0.), array(1.e-05), array(1.e-05), array(2.61971992e-05), array(0.), array(1.79261557e-05), array(2.4494515e-05), array(1.23624572e-06), array(1.e-05), array(1.e-05), array(1.e-05), array(1.63315941e-05), array(1.86936112e-05), array(1.e-05), array(0.), array(1.e-05)]",0.0001461957636754547,0.0008217272661763524
